
港台频道
TVB无线新闻台,P2p://sdgdklwos.finetv.tv:9906/5a562bec0007bfd761a2998e00b83dd5#P2p://sdgdklwos.finetv.tv:9906/5ad32bdc000b780449ee52022e841cf7
凤凰中文台,http://116.199.5.51:8114/index.m3u8?Fsv_chan_hls_se_idx=190&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8#http://125.210.152.18:9090/live/FHZW_1200.m3u8
凤凰咨询台,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8#http://125.210.152.18:9090/live/FHZX_1200.m3u8
高清翡翠台,http://pili-live-hdl.qhmywl.com/dsdtv/b3a93cbbd1908e81783879747bb3090a.m3u8
TVB-J2 高清,http://cloud-play.hhalloy.com/live/9de1ac6a9a4642e1aac41462c6159b92.flv
TVB明珠 高清,http://cloud-play.hhalloy.com/live/e5b375085720fd04cec615352224b493.flv
HKS卫视 高清,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq.flv
台湾华视 高清,http://cloud-play.hhalloy.com/live/0bdf94d7f68fe3ece32048144cbf9a23.flv
中天综合 高清,http://cloud-play.hhalloy.com/live/64ce4daa355bd6784904e72fabb7fa3e.flv
中天娱乐 高清,http://cloud-play.hhalloy.com/live/25ea449d554a16ec584e82d039065e5f.flv
三立台湾 高清,http://cloud-play.hhalloy.com/live/e71635b53bb874a085b2a469802bbc81.flv
东森财经 高清,http://cloud-play.hhalloy.com/live/10e21c98ff74745141a386d91da24c56.flv
东森新闻 高清,http://cloud-play.hhalloy.com/live/b237f97b0e9e21e88e0bdaae40730332.flv
非凡新闻 高清,http://cloud-play.hhalloy.com/live/408a2834f703f2162d0d5b5789344c39.flv

电影频道
东森电影 高清,http://cloud-play.hhalloy.com/live/d2325cfdfd53364263d307573f78e3ce.flv
龙祥时代 高清,http://cloud-play.hhalloy.com/live/a5da9875c963d704ac5dd8f866869723.flv
卫视电影 高清,http://cloud-play.hhalloy.com/live/4499fb1dcef8c7a9f64276bf71bfc5b4.flv
HBO-HD 高清,http://cloud-play.hhalloy.com/live/13e83b20bc716e68221da438d761d352.flv#http://218.202.220.2:5000/nn_live.ts?id=HBO
龙华洋片 高清,http://cloud-play.hhalloy.com/live/b7829653660ec5e84c70e7f3a01e1e6c.flv
龙华电影 高清,http://cloud-play.hhalloy.com/live/0e5dee9e8021ce3b9ec9bb78e9710555.flv
纬来电影 高清,http://cloud-play.hhalloy.com/live/4f10b67646969a422a5490deaaabbc69.flv
靖天电影 高清,http://cloud-play.hhalloy.com/live/5634d5c8ee5afeb118df8decf5eb6c56.flv

